,pair,lSymbol,rSymbol,lIndicator,rIndicator,symbolPicked
11199,HE,H,E,False,True,H
11202,EH,E,H,True,True,E
11205,HE,H,E,False,True,H
11208,HE,H,E,True,False,H
11209,EH,E,H,True,False,E
11211,HE,H,E,False,True,H
11218,EH,E,H,True,False,E
11219,HE,H,E,False,False,H
11220,EH,E,H,True,True,E
11222,HE,H,E,False,True,H
11226,HE,H,E,False,True,H
11230,EH,E,H,False,False,E
11233,HE,H,E,False,False,H
11235,EH,E,H,False,False,E
11244,EH,E,H,True,False,E
11250,EH,E,H,True,False,E
11251,EH,E,H,True,False,E
11253,EH,E,H,True,False,E
11254,EH,E,H,True,False,E
11260,EH,E,H,True,False,E
11266,HE,H,E,True,False,H
11270,EH,E,H,True,False,E
11273,EH,E,H,True,False,E
11274,EH,E,H,True,False,E
11282,HE,H,E,False,True,H
11287,HE,H,E,False,True,H
11291,EH,E,H,False,True,E
11294,EH,E,H,True,False,E
