,pair,lSymbol,rSymbol,lIndicator,rIndicator,symbolPicked,reward
11017,GF,G,F,True,False,G,1
11018,GF,G,F,True,False,G,1
11019,FG,F,G,False,True,G,1
11023,GF,G,F,True,True,G,1
11024,GF,G,F,True,True,G,1
11033,GF,G,F,False,False,G,0
11035,FG,F,G,False,True,G,1
11039,FG,F,G,False,True,G,1
11041,GF,G,F,True,False,G,0
11042,FG,F,G,False,True,G,1
11045,FG,F,G,False,True,G,1
11049,FG,F,G,True,True,G,1
11053,GF,G,F,True,False,G,1
11056,GF,G,F,True,True,G,1
11058,FG,F,G,False,True,G,1
11060,GF,G,F,True,False,G,1
11064,GF,G,F,True,True,G,1
11070,GF,G,F,True,False,G,1
11073,FG,F,G,False,True,G,1
11083,FG,F,G,False,True,G,1
11084,GF,G,F,True,False,G,1
11085,FG,F,G,False,False,G,0
11087,FG,F,G,True,True,G,1
11088,GF,G,F,True,True,G,1
11103,FG,F,G,False,True,G,1
11108,FG,F,G,False,False,G,0
11114,GF,G,F,False,True,G,0
11117,GF,G,F,True,True,G,1
11122,FG,F,G,True,True,G,1
11128,FG,F,G,True,True,G,1
11130,GF,G,F,True,False,G,1
11133,FG,F,G,False,True,G,1
11137,FG,F,G,False,True,G,1
11141,GF,G,F,False,False,G,0
11153,GF,G,F,True,False,G,1
11158,GF,G,F,True,False,G,1
11161,GF,G,F,True,False,G,1
11163,FG,F,G,False,True,G,1
11164,GF,G,F,True,True,G,1
11165,GF,G,F,True,False,G,1
11174,FG,F,G,False,True,G,1
11175,GF,G,F,False,False,G,0
11177,FG,F,G,False,True,G,1
11185,GF,G,F,True,False,G,1
11187,GF,G,F,True,False,G,1
11192,GF,G,F,True,True,G,1
11205,FG,F,G,True,True,G,1
11206,GF,G,F,False,False,G,1
11211,GF,G,F,False,False,G,0
11218,GF,G,F,True,False,G,1
11219,GF,G,F,True,True,G,1
11223,GF,G,F,False,False,G,0
11224,FG,F,G,False,False,G,0
11226,GF,G,F,True,False,G,1
11229,FG,F,G,False,True,G,1
11233,GF,G,F,True,False,G,1
11237,FG,F,G,True,True,G,1
11244,GF,G,F,True,False,G,1
11251,FG,F,G,False,False,G,0
11253,GF,G,F,True,False,G,1
11255,FG,F,G,False,False,G,0
11257,FG,F,G,False,True,G,1
11265,FG,F,G,False,True,G,1
11268,GF,G,F,True,False,G,1
11271,FG,F,G,False,True,G,1
11277,GF,G,F,True,False,G,0
11283,GF,G,F,False,False,G,0
11284,GF,G,F,False,True,G,0
11288,GF,G,F,True,False,G,1
11289,GF,G,F,False,True,G,0
11291,FG,F,G,False,False,G,0
11299,GF,G,F,True,False,G,1
11300,GF,G,F,False,False,G,0
