,pair,lSymbol,rSymbol,lIndicator,rIndicator,symbolPicked,reward
11057,DB,D,B,False,False,D,0
11062,DB,D,B,False,False,D,0
11069,DB,D,B,False,False,D,0
11071,DB,D,B,False,False,D,0
11072,BD,B,D,False,False,B,0
11075,BD,B,D,False,True,B,0
11076,DB,D,B,False,False,D,1
11082,DB,D,B,False,False,D,0
11090,DB,D,B,False,True,D,0
11094,BD,B,D,True,True,B,10
11097,BD,B,D,False,False,B,0
11099,DB,D,B,False,True,D,0
11101,DB,D,B,True,True,D,0
11105,BD,B,D,False,False,B,0
11110,BD,B,D,False,True,B,0
11118,DB,D,B,True,True,D,1
11120,DB,D,B,True,False,D,1
11124,BD,B,D,False,False,B,0
11125,DB,D,B,True,False,D,1
11126,DB,D,B,False,False,D,0
11136,BD,B,D,True,True,B,0
11138,DB,D,B,False,False,D,1
11140,DB,D,B,False,False,D,0
11142,BD,B,D,True,False,B,10
11144,BD,B,D,False,False,B,0
11146,BD,B,D,False,False,B,0
11148,DB,D,B,False,True,D,0
11159,BD,B,D,True,False,B,10
11160,BD,B,D,True,False,B,0
11162,BD,B,D,False,False,B,0
11169,DB,D,B,False,False,D,0
11170,DB,D,B,True,False,D,1
11171,BD,B,D,True,True,B,10
11178,DB,D,B,False,False,D,0
11179,BD,B,D,True,False,B,10
11180,BD,B,D,True,False,B,10
11181,DB,D,B,False,False,D,0
11188,DB,D,B,False,False,D,0
11191,BD,B,D,True,False,B,10
11196,BD,B,D,False,True,B,0
11198,BD,B,D,False,False,B,0
11202,DB,D,B,False,True,D,0
11203,DB,D,B,True,False,D,1
11207,BD,B,D,False,True,B,0
11209,DB,D,B,False,True,D,0
11214,BD,B,D,True,False,B,10
11217,BD,B,D,True,False,B,0
11220,BD,B,D,False,False,B,0
11222,BD,B,D,False,False,B,0
11228,DB,D,B,False,True,D,0
11234,DB,D,B,True,False,D,1
11236,DB,D,B,True,True,D,1
11240,DB,D,B,False,False,D,0
11246,BD,B,D,False,False,B,0
11250,BD,B,D,False,True,B,0
11254,BD,B,D,True,False,B,10
11261,BD,B,D,False,True,B,0
11264,DB,D,B,False,True,D,0
11267,BD,B,D,False,False,B,0
11270,DB,D,B,False,False,D,0
11272,DB,D,B,False,False,D,0
11273,BD,B,D,False,False,B,0
11279,DB,D,B,False,False,D,0
11281,BD,B,D,True,True,B,10
11292,BD,B,D,True,False,B,0
11294,DB,D,B,True,True,D,1
11296,DB,D,B,False,False,D,0
