,pair,lSymbol,rSymbol,lIndicator,rIndicator,symbolPicked,reward
150767,AC,A,C,True,False,A,10
150768,CA,C,A,True,True,C,1
150771,AC,A,C,True,True,A,10
150772,AC,A,C,True,True,A,10
150776,AC,A,C,True,True,A,10
150778,AC,A,C,False,True,A,0
150780,CA,C,A,False,True,C,0
150787,AC,A,C,True,True,A,10
150788,CA,C,A,True,True,C,1
150791,AC,A,C,True,True,A,10
150794,CA,C,A,True,True,C,1
150797,CA,C,A,True,True,C,1
150800,AC,A,C,True,True,A,10
150802,CA,C,A,True,False,C,1
150805,AC,A,C,True,True,A,10
150806,CA,C,A,False,True,C,0
150814,CA,C,A,True,False,C,1
150819,CA,C,A,True,False,C,1
150823,CA,C,A,True,True,C,1
150824,CA,C,A,True,True,C,1
150829,AC,A,C,True,True,A,10
150839,AC,A,C,True,False,A,10
150842,CA,C,A,False,True,C,0
150848,CA,C,A,True,True,C,1
150850,AC,A,C,False,True,A,10
150851,AC,A,C,False,False,A,0
150852,AC,A,C,True,True,A,10
150854,CA,C,A,True,True,C,1
150855,CA,C,A,False,True,C,0
150863,CA,C,A,False,False,C,0
150870,AC,A,C,True,True,A,10
150871,CA,C,A,True,True,C,1
150872,AC,A,C,True,True,A,10
150877,CA,C,A,False,False,C,0
150878,CA,C,A,True,True,C,1
150880,AC,A,C,True,True,A,10
150882,AC,A,C,True,True,A,10
150887,AC,A,C,True,True,A,10
150889,AC,A,C,True,True,A,10
150894,AC,A,C,False,True,A,10
150895,CA,C,A,True,True,C,1
150897,AC,A,C,False,True,A,0
150899,AC,A,C,False,True,A,0
150903,CA,C,A,True,True,C,1
150905,AC,A,C,True,False,A,10
150919,AC,A,C,False,False,A,0
150921,CA,C,A,False,True,C,0
150925,AC,A,C,False,False,A,0
150935,AC,A,C,False,True,A,0
150938,CA,C,A,False,True,C,0
150942,CA,C,A,False,True,C,0
150943,CA,C,A,True,False,C,1
150947,AC,A,C,True,True,A,10
150952,CA,C,A,False,False,C,0
150957,CA,C,A,True,True,C,1
150965,CA,C,A,False,True,C,0
150970,CA,C,A,True,True,C,1
150972,AC,A,C,False,False,A,0
150973,AC,A,C,True,False,A,10
150974,CA,C,A,True,False,C,1
150976,AC,A,C,True,True,A,10
150982,AC,A,C,True,False,A,10
